,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
124,322,0,3430,1,878,7,1,1,1,774
125,377,0,311,5,1580,6,2,1,1,775
126,338,0,7672,14,1181,2,2,0,1,974
127,393,0,6049,4,599,7,1,1,1,816
128,260,0,5462,7,3252,1,0,2,1,694
129,405,0,2103,9,218,5,1,1,1,649
130,322,0,2167,3,4177,0,1,2,3,3443
131,331,0,4768,9,3537,2,2,0,1,1195
132,322,0,7163,8,5121,0,1,2,3,3374
133,261,0,162,5,1805,3,1,2,0,69
134,199,0,294,3,4444,8,1,2,2,833
135,151,0,5021,9,2300,2,2,0,1,1547
136,322,0,4093,15,3699,0,1,2,3,3066
137,130,0,2606,4,823,5,1,1,1,1110
138,284,0,2994,6,1437,7,1,1,1,507
139,385,0,3915,11,2809,3,1,2,0,261
140,212,0,930,9,3357,6,2,1,1,1173
141,280,0,3383,9,1920,7,1,1,1,1368
142,324,0,5651,11,1930,5,1,1,1,1670
143,366,0,1654,9,4074,4,1,0,1,1986
144,336,1,0,5,604,6,2,1,1,802
145,386,0,2682,5,5528,4,1,0,1,3410
146,360,0,4135,15,5167,6,2,1,1,3292
147,376,0,5312,8,3549,6,2,1,1,1303
148,413,0,7315,13,4100,6,2,1,1,502
149,151,0,5018,9,2350,6,2,1,1,1547
150,342,0,7262,14,531,7,1,1,1,896
151,335,1,1475,5,3571,8,1,2,2,1432
152,333,1,4796,5,4751,8,1,2,2,2039
153,322,0,2850,14,0,0,1,2,3,798
154,162,0,2947,6,5156,2,2,0,1,2266
155,384,0,472,9,5100,8,1,2,2,2481
156,31,1,0,0,2816,8,1,2,2,259
157,386,0,7286,2,1736,7,1,1,1,1505
158,335,0,1939,14,2876,7,1,1,1,1373
159,336,1,4110,5,3356,1,0,2,1,1870
160,336,1,2888,13,649,1,0,2,1,1123
161,322,0,5064,6,1641,0,1,2,3,1441
162,56,0,3189,3,5084,8,1,2,2,2346
163,153,0,4686,14,2240,2,2,0,1,1953
164,72,1,5791,10,4957,2,2,0,1,2040
165,395,1,5077,14,5310,7,1,1,1,3104
166,351,0,1066,3,4994,7,1,1,1,2080
167,318,1,2941,3,2610,8,1,2,2,1398
168,322,0,1416,9,4784,0,1,2,3,3150
169,322,0,3425,1,856,8,1,2,2,575
170,341,0,908,11,3676,6,2,1,1,1657
171,366,0,6662,6,3909,7,1,1,1,2576
172,314,1,3947,10,3244,1,0,2,1,1146
173,327,1,3061,6,4123,1,0,2,1,2637
174,377,0,7858,6,2273,3,1,2,0,334
175,379,0,0,1,4709,3,1,2,0,546
176,319,1,4352,15,1492,5,1,1,1,875
177,314,0,5920,8,1157,3,1,2,0,141
178,322,1,7724,14,277,0,2,0,0,12
179,306,0,7627,0,3448,5,1,1,1,2182
180,322,1,4101,5,3295,0,1,2,3,3250
181,308,0,82,10,4766,5,1,1,1,861
182,322,0,6812,8,2363,0,2,0,0,233
183,45,1,4896,4,2195,1,0,2,1,1155
184,322,1,3457,0,5166,0,1,2,3,2919
185,309,1,3138,13,1743,8,1,2,2,877
186,322,1,5767,6,3708,0,2,0,0,611
187,336,0,1738,8,2777,4,1,0,1,708
188,398,1,805,5,4150,5,1,1,1,1786
189,98,0,5621,9,1262,4,1,0,1,1720
190,296,0,7192,10,1883,4,1,0,1,1346
191,47,1,4857,13,5916,4,1,0,1,2921
192,315,1,3509,6,3658,5,1,1,1,2242
193,364,0,984,6,525,8,1,2,2,442
194,322,0,620,9,4249,0,1,2,3,3025
195,298,0,2820,6,135,2,2,0,1,510
196,390,1,5886,5,467,2,2,0,1,864
197,342,0,4074,11,5398,4,1,0,1,3247
198,322,1,5930,4,886,0,1,2,3,1647
199,322,1,6028,3,5289,0,1,2,3,3100
200,388,0,3589,8,1905,5,1,1,1,678
201,20,1,2862,0,3584,6,2,1,1,2323
202,383,0,3738,13,2855,5,1,1,1,1373
203,322,0,5112,0,4087,0,1,2,3,3343
204,349,0,3607,10,5468,2,2,0,1,2694
205,355,1,2938,0,1159,3,1,2,0,318
206,333,0,4405,5,388,4,1,0,1,710
207,361,0,1250,14,4473,5,1,1,1,2499
208,322,1,3551,13,1993,0,2,0,0,309
209,325,0,7476,5,201,3,1,2,0,227
210,288,0,2879,14,14,6,2,1,1,109
211,334,0,3984,4,5500,6,2,1,1,3168
212,47,1,0,13,5894,7,1,1,1,1963
213,397,0,1582,9,1613,5,1,1,1,1076
214,343,0,0,9,3573,3,1,2,0,315
215,109,1,7247,13,2769,3,1,2,0,107
216,67,1,0,6,2792,3,1,2,0,257
217,333,1,6946,5,5801,3,1,2,0,257
218,372,0,7323,10,3548,1,0,2,1,2520
219,82,0,0,10,218,6,2,1,1,976
220,7,1,6933,0,601,4,1,0,1,1566
221,28,1,6428,0,1359,7,1,1,1,1184
222,359,1,6276,5,121,2,2,0,1,264
223,171,0,3540,3,2492,7,1,1,1,2459
224,323,0,4241,14,3574,1,0,2,1,1830
225,322,0,743,11,4908,0,2,0,0,206
226,408,0,1282,6,2584,1,0,2,1,2153
227,322,0,3487,4,3265,0,2,0,0,131
228,272,0,0,3,1122,6,2,1,1,1337
229,322,0,6031,3,4219,0,1,2,3,2229
230,322,0,34,9,3705,0,1,2,3,2930
231,322,1,7041,12,3827,0,1,2,3,2408
232,337,0,6734,6,1303,5,1,1,1,971
233,175,0,1616,3,3273,6,2,1,1,1946
234,326,0,5958,9,375,2,2,0,1,565
235,322,0,3014,7,4585,0,1,2,3,1760
236,322,1,5337,13,2383,0,2,0,0,91
237,319,1,4342,15,1502,1,0,2,1,1518
238,322,0,5398,13,2088,0,1,2,3,1623
239,322,0,4015,8,1128,0,1,2,3,235
240,373,0,6389,9,5614,5,1,1,1,3355
241,359,0,977,9,293,7,1,1,1,593
242,389,0,3578,8,4565,6,2,1,1,2307
243,364,1,4237,6,5183,7,1,1,1,3400
244,337,0,5515,4,5217,6,2,1,1,2297
245,203,0,209,13,5580,6,2,1,1,2549
246,316,0,2185,3,4137,1,0,2,1,2411
247,318,1,4009,6,3632,6,2,1,1,849
248,294,0,1610,10,1009,4,1,0,1,508
249,375,0,1597,5,5858,7,1,1,1,3065
250,322,0,3990,4,3263,0,2,0,0,298
251,371,0,6832,6,2178,8,1,2,2,1422
252,194,0,5541,6,845,4,1,0,1,690
253,314,1,5741,13,2646,1,0,2,1,1484
254,328,1,7477,6,3872,5,1,1,1,2560
255,322,0,7214,5,259,0,2,0,0,10
256,239,0,5922,3,553,7,1,1,1,256
257,246,0,7137,8,1618,1,0,2,1,186
258,376,1,4989,10,2125,5,1,1,1,1364
259,276,0,7607,0,2699,7,1,1,1,2896
260,324,1,1242,10,5150,1,0,2,1,2989
261,182,0,4147,14,1592,6,2,1,1,1185
262,283,1,3468,5,5529,7,1,1,1,1040
263,332,1,6540,4,5255,5,1,1,1,3100
264,262,0,4763,2,4023,5,1,1,1,1412
265,364,0,5628,9,4660,1,0,2,1,1919
266,376,0,3872,5,311,1,0,2,1,873
267,209,0,527,0,1269,1,0,2,1,932
268,359,0,3009,15,101,7,1,1,1,300
269,357,0,3139,5,4118,1,0,2,1,1895
270,271,1,3972,5,2729,2,2,0,1,1190
271,404,0,5572,4,5802,1,0,2,1,1636
272,102,0,6172,6,1283,1,0,2,1,1518
273,399,0,9,4,5902,6,2,1,1,3208
274,369,0,2432,13,1455,2,2,0,1,1628
275,322,0,2109,10,3913,0,1,2,3,3405
276,368,0,5250,6,5732,1,0,2,1,3415
277,376,1,5005,10,2111,7,1,1,1,428
278,203,0,714,13,5599,3,1,2,0,472
279,322,0,3065,13,2652,0,1,2,3,2511
280,194,1,2582,6,1859,8,1,2,2,673
281,196,0,7699,9,5648,6,2,1,1,3266
282,322,0,2016,9,1782,0,1,2,3,1658
283,408,0,1075,14,3294,7,1,1,1,1750
284,322,0,7731,6,4504,0,2,0,0,538
285,78,1,186,10,3237,6,2,1,1,1744
286,382,0,5329,6,3109,3,1,2,0,291
287,326,0,5975,9,407,8,1,2,2,525
288,403,1,838,6,5080,6,2,1,1,3152
289,250,0,6553,9,1593,4,1,0,1,1048
290,153,0,4695,14,2216,5,1,1,1,535
291,322,1,4109,2,3950,0,1,2,3,2592
292,325,0,2140,6,4777,5,1,1,1,1158
293,142,0,4023,4,2940,8,1,2,2,1480
294,322,1,6470,0,4692,0,1,2,3,3135
295,220,0,1995,0,1552,4,1,0,1,813
296,143,0,76,0,465,6,2,1,1,545
297,66,0,5247,11,2890,2,2,0,1,1185
298,394,1,3494,6,1134,7,1,1,1,826
299,71,0,3223,0,1719,2,2,0,1,1801
300,322,1,1642,3,1349,0,1,2,3,2310
301,322,1,6133,6,2619,0,2,0,0,249
302,377,0,372,9,3739,6,2,1,1,3224
303,379,0,7204,1,1532,8,1,2,2,972
304,286,0,7370,14,5130,5,1,1,1,3430
305,358,0,7088,7,5601,7,1,1,1,2044
306,169,0,7221,6,5444,5,1,1,1,3085
307,142,0,0,5,1668,8,1,2,2,781
308,93,0,1802,0,1490,2,2,0,1,902
309,391,0,5859,6,5341,6,2,1,1,2197
310,403,1,553,4,4609,6,2,1,1,2588
311,348,1,3745,3,785,2,2,0,1,499
312,109,1,6678,13,1385,2,2,0,1,1819
313,322,1,1829,3,815,0,1,2,3,1357
314,367,1,3609,5,2191,1,0,2,1,726
315,141,0,5752,13,2286,5,1,1,1,1072
316,96,0,2189,13,3131,5,1,1,1,789
317,390,1,7569,6,5197,3,1,2,0,430
318,330,0,7044,5,3115,5,1,1,1,2598
319,322,0,3003,6,3084,0,1,2,3,2803
320,322,0,2907,7,2526,0,1,2,3,3122
321,290,1,6813,0,5108,4,1,0,1,2989
322,348,0,3455,14,876,7,1,1,1,835
323,307,1,115,4,3199,7,1,1,1,1535
324,409,0,1073,6,1861,4,1,0,1,1827
325,291,0,7263,11,4635,3,1,2,0,373
326,364,0,2066,10,3687,1,0,2,1,865
327,289,1,1158,1,1790,5,1,1,1,1406
328,322,0,881,8,2766,0,1,2,3,2360
329,330,0,3371,1,4990,5,1,1,1,2614
330,407,0,5694,4,1035,1,0,2,1,298
331,322,0,5794,0,3482,0,1,2,3,2754
332,362,0,2379,6,5817,5,1,1,1,2808
333,322,1,3898,13,5254,0,1,2,3,3475
334,322,0,7749,5,1047,0,2,0,0,225
335,322,1,982,2,2748,0,1,2,3,1610
336,34,0,3287,11,1791,2,2,0,1,2358
337,349,1,5492,6,5071,5,1,1,1,3310
338,357,1,2570,5,2542,7,1,1,1,1563
339,202,1,5804,2,1896,7,1,1,1,2104
340,322,1,321,3,3667,0,1,2,3,2064
341,374,1,4239,0,1354,1,0,2,1,509
342,155,0,1958,9,3957,1,0,2,1,2789
343,403,0,1476,9,4188,5,1,1,1,2012
344,322,0,5689,13,4524,0,2,0,0,368
345,359,0,6230,14,799,4,1,0,1,647
346,73,0,244,10,951,4,1,0,1,1522
347,395,0,632,9,4234,4,1,0,1,2343
348,392,0,5079,9,4750,4,1,0,1,2252
349,367,0,0,3,4192,8,1,2,2,1920
350,409,1,3904,1,1886,8,1,2,2,1480
351,341,1,4304,1,5813,5,1,1,1,3133
352,310,1,4607,10,5303,1,0,2,1,3267
353,208,0,2234,14,3949,2,2,0,1,1938
354,189,1,4471,13,667,4,1,0,1,1062
355,393,1,2260,3,2907,2,2,0,1,2682
356,142,0,4005,4,2923,2,2,0,1,2263
357,322,1,4377,10,3718,0,1,2,3,3014
358,312,1,5140,5,1127,2,2,0,1,974
359,322,0,7665,6,1698,0,1,2,3,1999
360,317,0,724,7,4115,8,1,2,2,798
361,293,0,4807,8,2370,2,2,0,1,2034
362,340,0,5225,0,1169,5,1,1,1,784
363,297,0,6341,13,759,4,1,0,1,612
364,322,0,7296,4,4251,0,2,0,0,170
365,215,0,6787,6,4893,1,0,2,1,2489
366,213,1,5113,6,5730,6,2,1,1,3042
367,280,1,5116,10,2046,7,1,1,1,1940
368,407,1,3334,4,4918,8,1,2,2,1086
369,357,1,6671,6,2097,7,1,1,1,1044
370,322,1,0,6,814,0,1,2,3,1395
371,322,0,3669,8,4615,0,2,0,0,369
372,365,0,2450,9,4159,5,1,1,1,2637
373,272,0,4380,13,4030,6,2,1,1,3435
374,120,1,2891,10,249,1,0,2,1,732
375,395,0,5343,3,4116,8,1,2,2,1059
376,178,0,3828,4,4662,2,2,0,1,3182
377,382,1,341,6,748,1,0,2,1,1213
378,368,0,4113,4,3809,1,0,2,1,2309
379,168,1,0,5,4950,6,2,1,1,2751
380,322,1,548,6,5272,0,1,2,3,3104
381,322,0,7397,6,148,0,1,2,3,1113
382,335,1,5432,10,2406,8,1,2,2,1733
383,106,1,3230,5,127,7,1,1,1,1003
384,67,1,6067,6,2778,2,2,0,1,2445
385,352,0,1542,13,1296,6,2,1,1,569
386,359,0,0,3,1622,6,2,1,1,1048
387,351,0,2014,13,5342,3,1,2,0,448
388,322,1,0,13,597,0,1,2,3,659
389,408,0,1055,14,3217,2,2,0,1,1936
390,295,0,7379,5,2957,2,2,0,1,1918
391,181,0,6847,6,3653,5,1,1,1,2612
392,380,1,7123,6,1367,2,2,0,1,724
393,322,0,7652,4,5213,0,2,0,0,809
394,384,0,5556,9,4537,5,1,1,1,2314
395,102,0,6181,6,1255,4,1,0,1,1357
396,334,1,3929,13,5238,4,1,0,1,2530
397,412,1,65,15,3927,2,2,0,1,2151
398,298,1,267,13,3729,8,1,2,2,1974
399,269,0,5725,9,599,5,1,1,1,900
400,322,0,1584,11,549,0,1,2,3,659
401,299,0,2315,8,1294,5,1,1,1,406
402,333,0,647,1,5256,6,2,1,1,3368
403,390,0,773,8,4886,2,2,0,1,2571
404,322,1,2320,13,2280,0,1,2,3,1750
405,322,0,4402,0,492,0,2,0,0,18
406,125,0,3924,13,4922,4,1,0,1,3196
407,302,1,3374,0,215,2,2,0,1,636
408,367,0,1142,4,2103,1,0,2,1,1493
409,322,0,5620,7,2654,0,1,2,3,2280
410,350,0,1669,0,3204,2,2,0,1,1238
411,298,0,0,9,5387,3,1,2,0,653
412,376,0,104,4,3956,8,1,2,2,2765
413,394,0,2122,10,3995,2,2,0,1,492
414,357,0,7394,9,795,2,2,0,1,746
415,381,0,7648,4,3390,7,1,1,1,1286
416,295,1,763,15,5413,6,2,1,1,1826
417,322,0,898,1,262,0,2,0,0,50
418,108,0,734,6,4887,5,1,1,1,757
419,390,0,1614,9,2689,7,1,1,1,2145
420,142,0,2535,5,1668,3,1,2,0,285
421,328,0,2454,5,4195,5,1,1,1,2314
422,401,1,1171,6,5165,4,1,0,1,2397
423,404,1,0,4,5738,8,1,2,2,3162
424,389,0,3587,8,4498,4,1,0,1,3341
425,364,1,4220,6,5174,4,1,0,1,3166
426,308,0,83,10,4694,8,1,2,2,2988
427,375,0,621,6,4250,8,1,2,2,2248
428,380,1,7130,6,1336,5,1,1,1,724
429,205,0,747,4,569,5,1,1,1,760
430,322,0,7147,0,124,0,2,0,0,7
431,403,1,322,3,4313,2,2,0,1,3004
432,355,1,7341,13,3171,4,1,0,1,549
433,322,0,4176,4,1462,0,2,0,0,358
434,322,1,7834,10,3395,0,2,0,0,134
435,354,0,940,14,5014,1,0,2,1,2198
436,294,0,3773,8,4809,2,2,0,1,1297
437,367,1,3622,5,2281,5,1,1,1,633
438,407,1,3325,4,4936,4,1,0,1,1518
439,360,0,4130,15,5106,1,0,2,1,2486
440,336,0,2807,15,4181,2,2,0,1,1691
441,325,0,1180,6,4201,2,2,0,1,2405
442,409,1,3896,1,1934,5,1,1,1,580
443,320,0,7462,9,2447,4,1,0,1,1663
444,123,0,1215,5,5837,8,1,2,2,2390
445,296,0,1630,6,1783,6,2,1,1,1089
446,322,1,7101,13,508,0,2,0,0,21
447,255,0,0,4,396,1,0,2,1,720
448,389,0,681,8,2744,7,1,1,1,2255
449,322,0,482,9,715,0,1,2,3,1879
450,347,0,5737,0,2879,6,2,1,1,977
451,405,1,875,5,1238,2,2,0,1,1444
452,197,1,7303,3,575,8,1,2,2,194
453,383,0,5546,5,4715,5,1,1,1,852
454,296,1,273,13,1286,1,0,2,1,1991
455,321,0,6087,9,3811,6,2,1,1,2121
456,322,0,5548,4,5815,0,1,2,3,3472
457,403,1,6063,3,1512,2,2,0,1,1536
458,322,1,1349,14,218,0,1,2,3,1096
459,348,0,3107,8,2860,1,0,2,1,1902
460,229,0,1809,6,165,1,0,2,1,278
461,359,0,5144,3,163,7,1,1,1,690
462,327,0,1016,4,2345,2,2,0,1,1428
463,78,0,2006,9,2141,7,1,1,1,1845
464,373,0,2936,4,3914,8,1,2,2,2826
465,46,0,4750,5,2423,6,2,1,1,1604
466,332,0,202,9,3992,1,0,2,1,1524
467,298,0,3644,5,1374,7,1,1,1,1617
468,209,0,535,0,1264,5,1,1,1,1978
469,323,1,4993,5,4565,8,1,2,2,981
470,319,0,5009,9,5555,5,1,1,1,2413
471,62,0,32,0,4326,5,1,1,1,1348
472,322,0,0,6,4319,0,1,2,3,3447
473,350,1,352,13,2815,4,1,0,1,1381
474,320,0,1551,3,705,2,2,0,1,733
475,339,0,6773,5,1256,2,2,0,1,1018
476,250,0,6546,9,1520,6,2,1,1,766
477,364,0,3754,10,3647,3,1,2,0,147
478,70,1,0,0,3240,5,1,1,1,916
479,395,0,635,9,4330,5,1,1,1,1706
480,288,1,255,13,4238,1,0,2,1,2145
481,262,0,4911,7,5351,6,2,1,1,2200
482,383,0,0,5,4720,2,2,0,1,2352
483,414,0,6430,3,5768,3,1,2,0,491
484,397,0,4490,13,3972,6,2,1,1,2174
485,322,0,4349,0,1415,0,1,2,3,1652
486,366,0,6080,6,2360,5,1,1,1,826
487,322,0,6881,4,980,0,2,0,0,40
488,304,0,2360,6,2830,2,2,0,1,1294
489,322,1,7729,5,127,0,2,0,0,6
490,322,0,5913,8,3239,0,2,0,0,129
491,322,1,1840,1,5576,0,1,2,3,2429
492,240,0,682,9,4661,7,1,1,1,2747
493,338,0,4008,13,5483,3,1,2,0,669
494,107,0,5498,6,2731,6,2,1,1,1172
495,352,1,4425,13,4088,4,1,0,1,1786
496,383,0,5536,5,4707,1,0,2,1,1792
497,322,1,6002,6,4721,0,1,2,3,3383
498,360,1,5952,5,1337,6,2,1,1,915
499,392,0,0,9,2704,5,1,1,1,1097
500,318,0,0,9,2359,7,1,1,1,1780
501,262,0,1518,5,4858,4,1,0,1,2870
502,304,0,7798,4,5886,3,1,2,0,499
503,360,1,4389,4,1030,7,1,1,1,1480
504,322,0,1557,5,1981,0,1,2,3,2108
505,280,0,0,0,323,8,1,2,2,391
506,309,1,3002,6,4813,8,1,2,2,1698
507,293,0,5578,8,2989,7,1,1,1,1307
508,286,0,2726,11,1182,6,2,1,1,1582
509,322,0,5510,14,1610,0,2,0,0,63
510,408,0,7231,2,4583,3,1,2,0,705
511,291,0,1580,10,2720,5,1,1,1,1826
512,42,0,4414,5,5777,8,1,2,2,2791
513,382,0,7426,6,141,5,1,1,1,214
514,394,1,5306,0,501,1,0,2,1,667
515,384,0,596,7,1972,5,1,1,1,1168
516,84,0,41,9,3640,5,1,1,1,3066
517,291,0,451,14,415,8,1,2,2,358
518,322,1,5139,0,1740,0,1,2,3,2322
519,322,0,4081,9,5270,0,1,2,3,3093
520,106,1,0,5,202,1,0,2,1,296
521,381,0,7865,4,3426,3,1,2,0,306
522,265,0,1145,9,693,3,1,2,0,270
523,226,0,2319,6,174,1,0,2,1,662
524,262,0,6709,9,2193,5,1,1,1,2421
525,364,1,4217,6,5149,2,2,0,1,3116
526,243,0,2095,8,2864,8,1,2,2,277
527,322,0,7385,9,3536,0,2,0,0,314
528,390,1,6115,6,5185,7,1,1,1,3055
529,176,0,4299,5,3442,5,1,1,1,1889
530,322,1,4231,5,1911,1,0,2,1,1540
531,356,0,6319,11,4321,3,1,2,0,356
532,251,0,7801,3,507,3,1,2,0,63
533,381,0,7643,4,3471,4,1,0,1,2338
534,330,0,7057,5,3207,7,1,1,1,1992
535,366,0,0,6,3921,2,2,0,1,1630
536,112,0,2181,5,5074,6,2,1,1,1709
537,322,1,687,6,447,0,1,2,3,1696
538,366,0,1533,5,730,2,2,0,1,911
539,354,0,624,11,3022,6,2,1,1,2013
540,397,0,5551,6,643,3,1,2,0,26
541,339,0,6879,0,1087,7,1,1,1,227
542,322,1,5358,3,4680,0,1,2,3,3186
543,293,0,3187,5,2837,1,0,2,1,1171
544,346,0,3106,14,1038,6,2,1,1,1257
545,322,1,0,3,3549,0,2,0,0,310
546,251,1,3205,4,330,4,1,0,1,589
547,318,0,1923,5,5630,3,1,2,0,879
548,379,0,806,8,1641,5,1,1,1,1638
549,288,1,2304,6,3854,4,1,0,1,1814
550,314,1,5008,13,52,6,2,1,1,710
551,337,0,5580,3,2847,2,2,0,1,1368
552,322,0,6903,4,3774,0,2,0,0,323
553,394,1,4393,10,3772,2,2,0,1,1134
554,398,0,370,6,4515,7,1,1,1,2979
555,296,1,3514,3,1089,7,1,1,1,1408
556,322,0,6295,11,2039,0,1,2,3,1331
557,322,0,3127,13,1257,0,1,2,3,1401
558,302,0,5353,4,4604,7,1,1,1,2108
559,378,1,0,6,2851,5,1,1,1,1545
560,242,0,1272,14,1958,8,1,2,2,835
561,391,0,4944,4,215,3,1,2,0,47
562,407,1,6005,6,2561,4,1,0,1,1049
563,322,0,3557,13,3465,0,2,0,0,310
564,120,1,1212,13,4889,6,2,1,1,2805
565,100,0,4428,7,5794,1,0,2,1,2097
566,47,1,4859,13,5921,5,1,1,1,1466
567,130,1,6878,2,1510,4,1,0,1,1279
568,403,1,557,4,4626,4,1,0,1,2588
